Model,Producent,Data produkcji,Moc WiFi,Moc Ethernetu,Liczba gniazd Ethernet,Rodzaj sygnału WiFi,Obsługa 5G,Wersja firmware,Maksymalna przepustowość WiFi,Maksymalna przepustowość Ethernet,Lista funkcji
Linksys WRT54G,Linksys,2022,27 dBm,1 Gbps,5,"802.11ax (WiFi 6E), Dual Band (2.4/5 GHz)",Tak,22.5.95,4800 Mbps,1 Gbps,"WPA3, MU-MIMO, OFDMA, Multi-Link Operation, 6 GHz band, USB 3.0, Mesh"
Linksys WRT54G,Linksys,2023,30 dBm,2.5 Gbps,4,"802.11ax (WiFi 6E), Dual Band (2.4/5 GHz)",Tak,23.2.9,5400 Mbps,2.5 Gbps,"WPA3, MU-MIMO, OFDMA, Multi-Link Operation, 6 GHz band, USB 3.0, Mesh"
Linksys WRT54G,Linksys,2024,27 dBm,10 Gbps,4,"802.11ax (WiFi 6E), Quad-Band",Tak,24.4.43,19000 Mbps,10 Gbps,"WPA3, Multi-Link Operation, 320MHz channels, MLO, BE, 10G ports"
Linksys WRT54G,Linksys,2025,30 dBm,10 Gbps,5,"802.11be (WiFi 7), Quad-Band",Tak,25.10.85,10800 Mbps,10 Gbps,"WPA3, Multi-Link Operation, 320MHz channels, MLO, BE, 10G ports"
Linksys WRT54GL,Linksys,2005,17 dBm,100 Mbps,4,"802.11g, Single Band 2.4 GHz",Nie,5.1.26,54 Mbps,100 Mbps,"WPA, WPA2, Firewall, NAT"
Linksys WRT54GL,Linksys,2006,17 dBm,100 Mbps,4,"802.11g, Single Band 2.4 GHz",Nie,6.5.21,54 Mbps,100 Mbps,"WPA, WPA2, Firewall, NAT"
Linksys WRT54GL,Linksys,2007,18 dBm,100 Mbps,4,"802.11n, Single Band 2.4 GHz",Nie,7.1.55,300 Mbps,100 Mbps,"WPA2, QoS, WPS, USB 2.0"
Linksys WRT54GL,Linksys,2008,18 dBm,100 Mbps,4,"802.11n, Dual Band (2.4/5 GHz)",Tak,8.2.64,300 Mbps,100 Mbps,"WPA2, QoS, WPS, USB 2.0"
Linksys WRT54GL,Linksys,2009,18 dBm,100 Mbps,4,"802.11n, Dual Band (2.4/5 GHz)",Tak,9.7.16,150 Mbps,100 Mbps,"WPA2, QoS, WPS, USB 2.0"
Linksys WRT54GL,Linksys,2010,20 dBm,100 Mbps,5,"802.11n, Dual Band (2.4/5 GHz)",Tak,10.10.37,300 Mbps,100 Mbps,"WPA2, QoS, Guest Network, USB 2.0"
Linksys WRT54GL,Linksys,2011,23 dBm,100 Mbps,5,"802.11n, Dual Band (2.4/5 GHz)",Tak,11.1.85,600 Mbps,100 Mbps,"WPA2, QoS, Guest Network, USB 2.0"
Linksys WRT54GL,Linksys,2012,20 dBm,1 Gbps,4,"802.11n, Single Band 2.4 GHz",Nie,12.1.56,450 Mbps,1 Gbps,"WPA2, QoS, Guest Network, USB 2.0"
Linksys WRT54GL,Linksys,2013,20 dBm,1 Gbps,5,"802.11ac, Dual Band (2.4/5 GHz)",Tak,13.10.31,1900 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT54GL,Linksys,2014,20 dBm,1 Gbps,4,"802.11ac, Dual Band (2.4/5 GHz)",Tak,14.4.46,1300 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT54GL,Linksys,2015,23 dBm,1 Gbps,5,"802.11ac, Dual Band (2.4/5 GHz)",Tak,15.11.31,1200 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT54GL,Linksys,2016,23 dBm,1 Gbps,5,"802.11ac, Tri-Band (2.4/5/5 GHz)",Tak,16.12.36,1300 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT54GL,Linksys,2017,25 dBm,1 Gbps,8,"802.11ax (WiFi 6), Tri-Band (2.4/5/5 GHz)",Tak,17.11.31,1750 Mbps,1 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT54GL,Linksys,2018,27 dBm,1 Gbps,8,"802.11ac Wave 2, Tri-Band (2.4/5/5 GHz)",Tak,18.6.37,5400 Mbps,1 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT54GL,Linksys,2019,27 dBm,2.5 Gbps,8,"802.11ax (WiFi 6), Dual Band (2.4/5 GHz)",Tak,19.8.73,1750 Mbps,2.5 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT54GL,Linksys,2020,25 dBm,2.5 Gbps,4,"802.11ac Wave 2, Tri-Band (2.4/5/5 GHz)",Tak,20.5.80,2100 Mbps,2.5 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT54GL,Linksys,2021,30 dBm,2.5 Gbps,5,"802.11ax (WiFi 6E), Tri-Band (2.4/5/6 GHz)",Tak,21.11.25,6000 Mbps,2.5 Gbps,"WPA3, MU-MIMO, OFDMA, Multi-Link Operation, 6 GHz band, USB 3.0, Mesh"
Linksys WRT54GL,Linksys,2022,30 dBm,2.5 Gbps,5,"802.11ax (WiFi 6), Dual Band (2.4/5 GHz)",Tak,22.10.61,6000 Mbps,2.5 Gbps,"WPA3, MU-MIMO, OFDMA, Multi-Link Operation, 6 GHz band, USB 3.0, Mesh"
Linksys WRT54GL,Linksys,2023,25 dBm,1 Gbps,8,"802.11ax (WiFi 6E), Tri-Band (2.4/5/6 GHz)",Tak,23.8.6,6000 Mbps,1 Gbps,"WPA3, MU-MIMO, OFDMA, Multi-Link Operation, 6 GHz band, USB 3.0, Mesh"
Linksys WRT54GL,Linksys,2024,27 dBm,10 Gbps,10,"802.11be (WiFi 7), Tri-Band (2.4/5/6 GHz)",Tak,24.7.4,33000 Mbps,10 Gbps,"WPA3, Multi-Link Operation, 320MHz channels, MLO, BE, 10G ports"
Linksys WRT54GL,Linksys,2025,27 dBm,2.5 Gbps,8,"802.11ax (WiFi 6E), Quad-Band",Tak,25.11.36,30000 Mbps,2.5 Gbps,"WPA3, Multi-Link Operation, 320MHz channels, MLO, BE, 10G ports"
Linksys WRT54GS,Linksys,2005,17 dBm,100 Mbps,4,"802.11g, Single Band 2.4 GHz",Nie,5.9.32,54 Mbps,100 Mbps,"WPA, WPA2, Firewall, NAT"
Linksys WRT54GS,Linksys,2006,15 dBm,100 Mbps,4,"802.11g, Single Band 2.4 GHz",Nie,6.10.23,54 Mbps,100 Mbps,"WPA, WPA2, Firewall, NAT"
Linksys WRT54GS,Linksys,2007,20 dBm,100 Mbps,4,"802.11n, Single Band 2.4 GHz",Nie,7.8.42,300 Mbps,100 Mbps,"WPA2, QoS, WPS, USB 2.0"
Linksys WRT54GS,Linksys,2008,20 dBm,100 Mbps,4,"802.11n, Dual Band (2.4/5 GHz)",Tak,8.2.61,300 Mbps,100 Mbps,"WPA2, QoS, WPS, USB 2.0"
Linksys WRT54GS,Linksys,2009,20 dBm,100 Mbps,4,"802.11n, Dual Band (2.4/5 GHz)",Tak,9.9.80,300 Mbps,100 Mbps,"WPA2, QoS, WPS, USB 2.0"
Linksys WRT54GS,Linksys,2010,18 dBm,100 Mbps,5,"802.11n, Single Band 2.4 GHz",Nie,10.9.35,600 Mbps,100 Mbps,"WPA2, QoS, Guest Network, USB 2.0"
Linksys WRT54GS,Linksys,2011,23 dBm,1 Gbps,4,"802.11n, Dual Band (2.4/5 GHz)",Tak,11.5.64,300 Mbps,1 Gbps,"WPA2, QoS, Guest Network, USB 2.0"
Linksys WRT54GS,Linksys,2012,20 dBm,1 Gbps,5,"802.11n, Dual Band (2.4/5 GHz)",Tak,12.4.75,450 Mbps,1 Gbps,"WPA2, QoS, Guest Network, USB 2.0"
Linksys WRT54GS,Linksys,2013,20 dBm,1 Gbps,5,"802.11ac, Tri-Band (2.4/5/5 GHz)",Tak,13.5.73,1300 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT54GS,Linksys,2014,23 dBm,1 Gbps,4,"802.11ac, Tri-Band (2.4/5/5 GHz)",Tak,14.7.69,1900 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT54GS,Linksys,2015,20 dBm,1 Gbps,4,"802.11ac, Tri-Band (2.4/5/5 GHz)",Tak,15.9.4,1200 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT54GS,Linksys,2016,23 dBm,1 Gbps,5,"802.11ac, Tri-Band (2.4/5/5 GHz)",Tak,16.4.17,1200 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT54GS,Linksys,2017,25 dBm,2.5 Gbps,8,"802.11ac Wave 2, Tri-Band (2.4/5/5 GHz)",Tak,17.12.83,1750 Mbps,2.5 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT54GS,Linksys,2018,23 dBm,1 Gbps,8,"802.11ac Wave 2, Dual Band (2.4/5 GHz)",Tak,18.1.92,1750 Mbps,1 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT54GS,Linksys,2019,25 dBm,2.5 Gbps,4,"802.11ac Wave 2, Tri-Band (2.4/5/5 GHz)",Tak,19.3.85,1750 Mbps,2.5 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT54GS,Linksys,2020,27 dBm,1 Gbps,4,"802.11ac Wave 2, Dual Band (2.4/5 GHz)",Tak,20.8.40,4800 Mbps,1 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT54GS,Linksys,2021,30 dBm,1 Gbps,5,"802.11ax (WiFi 6), Dual Band (2.4/5 GHz)",Tak,21.2.7,3000 Mbps,1 Gbps,"WPA3, MU-MIMO, OFDMA, Multi-Link Operation, 6 GHz band, USB 3.0, Mesh"
Linksys WRT54GS,Linksys,2022,27 dBm,2.5 Gbps,8,"802.11ax (WiFi 6), Tri-Band (2.4/5/6 GHz)",Tak,22.0.30,5400 Mbps,2.5 Gbps,"WPA3, MU-MIMO, OFDMA, Multi-Link Operation, 6 GHz band, USB 3.0, Mesh"
Linksys WRT54GS,Linksys,2023,30 dBm,2.5 Gbps,5,"802.11ax (WiFi 6E), Tri-Band (2.4/5/6 GHz)",Tak,23.9.85,3000 Mbps,2.5 Gbps,"WPA3, MU-MIMO, OFDMA, Multi-Link Operation, 6 GHz band, USB 3.0, Mesh"
Linksys WRT54GS,Linksys,2024,27 dBm,10 Gbps,10,"802.11be (WiFi 7), Quad-Band",Tak,24.6.22,19000 Mbps,10 Gbps,"WPA3, Multi-Link Operation, 320MHz channels, MLO, BE, 10G ports"
Linksys WRT54GS,Linksys,2025,30 dBm,10 Gbps,4,"802.11ax (WiFi 6E), Quad-Band",Tak,25.1.45,19000 Mbps,10 Gbps,"WPA3, Multi-Link Operation, 320MHz channels, MLO, BE, 10G ports"
Linksys WRT160N,Linksys,2005,15 dBm,100 Mbps,4,"802.11g, Single Band 2.4 GHz",Nie,5.1.42,54 Mbps,100 Mbps,"WPA, WPA2, Firewall, NAT"
Linksys WRT160N,Linksys,2006,18 dBm,100 Mbps,4,"802.11g, Single Band 2.4 GHz",Nie,6.8.93,54 Mbps,100 Mbps,"WPA, WPA2, Firewall, NAT"
Linksys WRT160N,Linksys,2007,20 dBm,100 Mbps,4,"802.11n, Dual Band (2.4/5 GHz)",Tak,7.2.5,300 Mbps,100 Mbps,"WPA2, QoS, WPS, USB 2.0"
Linksys WRT160N,Linksys,2008,18 dBm,1 Gbps,4,"802.11n, Single Band 2.4 GHz",Nie,8.2.64,150 Mbps,1 Gbps,"WPA2, QoS, WPS, USB 2.0"
Linksys WRT160N,Linksys,2009,20 dBm,100 Mbps,4,"802.11n, Dual Band (2.4/5 GHz)",Tak,9.1.76,300 Mbps,100 Mbps,"WPA2, QoS, WPS, USB 2.0"
Linksys WRT160N,Linksys,2010,20 dBm,1 Gbps,4,"802.11n, Single Band 2.4 GHz",Nie,10.1.41,450 Mbps,1 Gbps,"WPA2, QoS, Guest Network, USB 2.0"
Linksys WRT160N,Linksys,2011,18 dBm,1 Gbps,4,"802.11n, Single Band 2.4 GHz",Nie,11.12.13,600 Mbps,1 Gbps,"WPA2, QoS, Guest Network, USB 2.0"
Linksys WRT160N,Linksys,2012,20 dBm,1 Gbps,5,"802.11n, Single Band 2.4 GHz",Nie,12.3.13,300 Mbps,1 Gbps,"WPA2, QoS, Guest Network, USB 2.0"
Linksys WRT160N,Linksys,2013,25 dBm,1 Gbps,4,"802.11ac, Tri-Band (2.4/5/5 GHz)",Tak,13.3.73,1750 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT160N,Linksys,2014,20 dBm,1 Gbps,8,"802.11ac, Dual Band (2.4/5 GHz)",Tak,14.3.14,867 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT160N,Linksys,2015,20 dBm,1 Gbps,5,"802.11ac, Tri-Band (2.4/5/5 GHz)",Tak,15.7.65,1900 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT160N,Linksys,2016,25 dBm,1 Gbps,8,"802.11ac, Dual Band (2.4/5 GHz)",Tak,16.11.60,1750 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT160N,Linksys,2017,23 dBm,1 Gbps,4,"802.11ac Wave 2, Dual Band (2.4/5 GHz)",Tak,17.3.56,4800 Mbps,1 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT160N,Linksys,2018,27 dBm,2.5 Gbps,5,"802.11ac Wave 2, Tri-Band (2.4/5/5 GHz)",Tak,18.7.47,3000 Mbps,2.5 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT160N,Linksys,2019,25 dBm,2.5 Gbps,4,"802.11ac Wave 2, Tri-Band (2.4/5/5 GHz)",Tak,19.11.27,3000 Mbps,2.5 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT160N,Linksys,2020,23 dBm,1 Gbps,8,"802.11ac Wave 2, Tri-Band (2.4/5/5 GHz)",Tak,20.12.77,3000 Mbps,1 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT160N,Linksys,2021,27 dBm,1 Gbps,5,"802.11ax (WiFi 6E), Tri-Band (2.4/5/6 GHz)",Tak,21.3.38,4800 Mbps,1 Gbps,"WPA3, MU-MIMO, OFDMA, Multi-Link Operation, 6 GHz band, USB 3.0, Mesh"
Linksys WRT160N,Linksys,2022,30 dBm,10 Gbps,5,"802.11ax (WiFi 6), Dual Band (2.4/5 GHz)",Tak,22.9.42,9600 Mbps,10 Gbps,"WPA3, MU-MIMO, OFDMA, Multi-Link Operation, 6 GHz band, USB 3.0, Mesh"
Linksys WRT160N,Linksys,2023,27 dBm,1 Gbps,4,"802.11ax (WiFi 6E), Tri-Band (2.4/5/6 GHz)",Tak,23.7.23,4800 Mbps,1 Gbps,"WPA3, MU-MIMO, OFDMA, Multi-Link Operation, 6 GHz band, USB 3.0, Mesh"
Linksys WRT160N,Linksys,2024,30 dBm,10 Gbps,5,"802.11be (WiFi 7), Tri-Band (2.4/5/6 GHz)",Tak,24.12.24,19000 Mbps,10 Gbps,"WPA3, Multi-Link Operation, 320MHz channels, MLO, BE, 10G ports"
Linksys WRT160N,Linksys,2025,30 dBm,2.5 Gbps,5,"802.11ax (WiFi 6E), Tri-Band (2.4/5/6 GHz)",Tak,25.11.10,19000 Mbps,2.5 Gbps,"WPA3, Multi-Link Operation, 320MHz channels, MLO, BE, 10G ports"
Linksys WRT300N,Linksys,2005,17 dBm,100 Mbps,4,"802.11g, Single Band 2.4 GHz",Nie,5.5.31,54 Mbps,100 Mbps,"WPA, WPA2, Firewall, NAT"
Linksys WRT300N,Linksys,2006,15 dBm,100 Mbps,4,"802.11g, Single Band 2.4 GHz",Nie,6.12.99,54 Mbps,100 Mbps,"WPA, WPA2, Firewall, NAT"
Linksys WRT300N,Linksys,2007,20 dBm,1 Gbps,4,"802.11n, Dual Band (2.4/5 GHz)",Tak,7.9.94,300 Mbps,1 Gbps,"WPA2, QoS, WPS, USB 2.0"
Linksys WRT300N,Linksys,2008,20 dBm,100 Mbps,4,"802.11n, Single Band 2.4 GHz",Nie,8.8.67,150 Mbps,100 Mbps,"WPA2, QoS, WPS, USB 2.0"
Linksys WRT300N,Linksys,2009,20 dBm,1 Gbps,4,"802.11n, Dual Band (2.4/5 GHz)",Tak,9.8.86,300 Mbps,1 Gbps,"WPA2, QoS, WPS, USB 2.0"
Linksys WRT300N,Linksys,2010,23 dBm,1 Gbps,5,"802.11n, Dual Band (2.4/5 GHz)",Tak,10.11.44,600 Mbps,1 Gbps,"WPA2, QoS, Guest Network, USB 2.0"
Linksys WRT300N,Linksys,2011,18 dBm,1 Gbps,5,"802.11n, Single Band 2.4 GHz",Nie,11.8.66,600 Mbps,1 Gbps,"WPA2, QoS, Guest Network, USB 2.0"
Linksys WRT300N,Linksys,2012,18 dBm,100 Mbps,4,"802.11n, Single Band 2.4 GHz",Nie,12.6.24,300 Mbps,100 Mbps,"WPA2, QoS, Guest Network, USB 2.0"
Linksys WRT300N,Linksys,2013,25 dBm,1 Gbps,4,"802.11ac, Tri-Band (2.4/5/5 GHz)",Tak,13.4.32,1750 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT300N,Linksys,2014,25 dBm,1 Gbps,8,"802.11ac, Dual Band (2.4/5 GHz)",Tak,14.12.53,867 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT300N,Linksys,2015,25 dBm,1 Gbps,5,"802.11ac, Dual Band (2.4/5 GHz)",Tak,15.11.52,1750 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT300N,Linksys,2016,20 dBm,1 Gbps,4,"802.11ac, Tri-Band (2.4/5/5 GHz)",Tak,16.6.64,1900 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT300N,Linksys,2017,27 dBm,2.5 Gbps,4,"802.11ac Wave 2, Tri-Band (2.4/5/5 GHz)",Tak,17.4.88,1750 Mbps,2.5 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT300N,Linksys,2018,23 dBm,1 Gbps,8,"802.11ac Wave 2, Dual Band (2.4/5 GHz)",Tak,18.11.82,1750 Mbps,1 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT300N,Linksys,2019,25 dBm,2.5 Gbps,4,"802.11ac Wave 2, Dual Band (2.4/5 GHz)",Tak,19.6.41,2600 Mbps,2.5 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT300N,Linksys,2020,27 dBm,1 Gbps,4,"802.11ax (WiFi 6), Tri-Band (2.4/5/5 GHz)",Tak,20.3.46,3000 Mbps,1 Gbps,"WPA2, WPA3, MU-MIMO, OFDMA, Beamforming, USB 3.0, AiMesh, Mesh"
Linksys WRT300N,Linksys,2021,30 dBm,2.5 Gbps,8,"802.11ax (WiFi 6E), Dual Band (2.4/5 GHz)",Tak,21.5.25,3000 Mbps,2.5 Gbps,"WPA3, MU-MIMO, OFDMA, Multi-Link Operation, 6 GHz band, USB 3.0, Mesh"
Linksys WRT300N,Linksys,2022,30 dBm,2.5 Gbps,8,"802.11ax (WiFi 6E), Tri-Band (2.4/5/6 GHz)",Tak,22.8.42,9600 Mbps,2.5 Gbps,"WPA3, MU-MIMO, OFDMA, Multi-Link Operation, 6 GHz band, USB 3.0, Mesh"
Linksys WRT300N,Linksys,2023,30 dBm,10 Gbps,5,"802.11ax (WiFi 6), Tri-Band (2.4/5/6 GHz)",Tak,23.7.49,6000 Mbps,10 Gbps,"WPA3, MU-MIMO, OFDMA, Multi-Link Operation, 6 GHz band, USB 3.0, Mesh"
Linksys WRT300N,Linksys,2024,30 dBm,10 Gbps,8,"802.11ax (WiFi 6E), Quad-Band",Tak,24.11.75,10800 Mbps,10 Gbps,"WPA3, Multi-Link Operation, 320MHz channels, MLO, BE, 10G ports"
Linksys WRT300N,Linksys,2025,27 dBm,2.5 Gbps,8,"802.11ax (WiFi 6E), Quad-Band",Tak,25.7.55,10800 Mbps,2.5 Gbps,"WPA3, Multi-Link Operation, 320MHz channels, MLO, BE, 10G ports"
Linksys WRT310N,Linksys,2005,15 dBm,100 Mbps,4,"802.11g, Single Band 2.4 GHz",Nie,5.4.30,54 Mbps,100 Mbps,"WPA, WPA2, Firewall, NAT"
Linksys WRT310N,Linksys,2006,17 dBm,100 Mbps,4,"802.11g, Single Band 2.4 GHz",Nie,6.12.66,54 Mbps,100 Mbps,"WPA, WPA2, Firewall, NAT"
Linksys WRT310N,Linksys,2007,18 dBm,100 Mbps,4,"802.11n, Single Band 2.4 GHz",Nie,7.9.47,300 Mbps,100 Mbps,"WPA2, QoS, WPS, USB 2.0"
Linksys WRT310N,Linksys,2008,20 dBm,1 Gbps,4,"802.11n, Single Band 2.4 GHz",Nie,8.2.7,150 Mbps,1 Gbps,"WPA2, QoS, WPS, USB 2.0"
Linksys WRT310N,Linksys,2009,18 dBm,100 Mbps,4,"802.11n, Dual Band (2.4/5 GHz)",Tak,9.9.33,300 Mbps,100 Mbps,"WPA2, QoS, WPS, USB 2.0"
Linksys WRT310N,Linksys,2010,23 dBm,100 Mbps,4,"802.11n, Dual Band (2.4/5 GHz)",Tak,10.5.94,600 Mbps,100 Mbps,"WPA2, QoS, Guest Network, USB 2.0"
Linksys WRT310N,Linksys,2011,20 dBm,100 Mbps,4,"802.11n, Single Band 2.4 GHz",Nie,11.12.20,600 Mbps,100 Mbps,"WPA2, QoS, Guest Network, USB 2.0"
Linksys WRT310N,Linksys,2012,18 dBm,100 Mbps,4,"802.11n, Single Band 2.4 GHz",Nie,12.0.40,600 Mbps,100 Mbps,"WPA2, QoS, Guest Network, USB 2.0"
Linksys WRT310N,Linksys,2013,25 dBm,1 Gbps,4,"802.11ac, Dual Band (2.4/5 GHz)",Tak,13.12.4,1900 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT310N,Linksys,2014,20 dBm,1 Gbps,4,"802.11ac, Dual Band (2.4/5 GHz)",Tak,14.0.38,1900 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
Linksys WRT310N,Linksys,2015,25 dBm,1 Gbps,8,"802.11ac, Dual Band (2.4/5 GHz)",Tak,15.6.89,1750 Mbps,1 Gbps,"WPA2, MU-MIMO, Beamforming, USB 3.0, Guest Network"
